Année du Baccalauréat;Enseignements de spécialité;Formation;Nombre de candidats bacheliers ayant confirmé au moins un vœu;Nombre de candidats bacheliers ayant reçu au moins une proposition d'admission;Nombre de candidats bacheliers ayant accepté une proposition d'admission
2021;Art,Art;Licence Histoire;1;0;0
2021;Art,Art;Licence Mécanique, Génie mécanique, Ingénierie mécanique;0;0;0
2021;Art,Humanités, Littérature et Philosophie;Licence Sciences et technologies industrielles;18;9;4
2021;Art,Humanités, Littérature et Philosophie;DEUST;82;27;15
2021;Art,Langues, littératures et cultures étrangères et régionales;Licence Géographie;83;39;11
2021;Art,Langues, littératures et cultures étrangères et régionales;Licence Mathématiques et informatique;0;0;0
2021;Art,Numérique et Sciences Informatiques;Licence Mécanique, Génie mécanique, Ingénierie mécanique;0;0;0
2021;Art,Sciences Economiques et Sociales Spécialité;Licence Physique;1;0;0
2021;Art,Sciences de l'ingénieur et sciences physiques;Licence MASS;0;0;0
2021;Art,Sciences de la vie et de la Terre Spécialité;Licence Génie civil;1;1;0
2021;Art,Sciences de la vie et de la Terre Spécialité;Licence Mécanique, Génie mécanique, Ingénierie mécanique;0;0;0
2021;Biologie/Ecologie,Histoire-Géographie, Géopolitique et Sciences politiques;Ecoles d'ingénieurs;1;0;0
2021;Biologie/Ecologie,Histoire-Géographie, Géopolitique et Sciences politiques;DCG;0;0;0
2021;Biologie/Ecologie,Humanités, Littérature et Philosophie;Ensemble des bacheliers;2;2;2
2021;Biologie/Ecologie,Langues, littératures et cultures étrangères et régionales;Licence Sciences économiques;0;0;0
2021;Biologie/Ecologie,Langues, littératures et cultures étrangères et régionales;CPGE S;0;0;0
2021;Biologie/Ecologie,Physique-Chimie Spécialité;Licence Langues et littératures étrangères;45;29;7
2021;Biologie/Ecologie,Physique-Chimie Spécialité;Licence Physique et chimie;105;33;4
2021;Biologie/Ecologie,Sciences Economiques et Sociales Spécialité;Licence Sciences religieuses;0;0;0
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Humanités, Littérature et Philosophie;Licence Pluri Sciences de la vie, de la santé, de la terre et de l univers;32;1;1
2021;Histoire-Géographie, Géopolitique et Sciences politiques,Langues, littératures et cultures étrangères et régionales;Autres formations;1733;477;220
2021;Littérature et langues et cultures de l'Antiquité,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Archéologie, Ethno, Préhistoire, Anthropologie;5;3;1
2021;Littérature et langues et cultures de l'Antiquité,Histoire-Géographie, Géopolitique et Sciences politiques;Licence STAPS;3;0;0
2021;Littérature et langues et cultures de l'Antiquité,Humanités, Littérature et Philosophie;D.E  social;7;2;2
2021;Littérature et langues et cultures de l'Antiquité,Humanités, Littérature et Philosophie;Formations des écoles nationales vétérinaires;0;0;0
2021;Littérature et langues et cultures de l'Antiquité,Langues, littératures et cultures étrangères et régionales;Licence Archéologie, Ethno, Préhistoire, Anthropologie;3;2;0
2021;Littérature et langues et cultures de l'Antiquité,Langues, littératures et cultures étrangères et régionales;CPGE L;27;19;9
2021;Littérature et langues et cultures de l'Antiquité,Mathématiques Spécialité;CPGE ECG;1;1;0
2021;Mathématiques Spécialité,Langues, littératures et cultures étrangères et régionales;Licence Pluri Langues;36;17;5
2021;Mathématiques Spécialité,Langues, littératures et cultures étrangères et régionales;Licence Sociologie, Démographie;309;212;40
2021;Mathématiques Spécialité,Langues, littératures et cultures étrangères et régionales;BUT Service;1332;524;213
2021;Mathématiques Spécialité,Numérique et Sciences Informatiques;Sciences po;33;2;2
2021;Mathématiques Spécialité,Sciences Economiques et Sociales Spécialité;Ecoles de Commerce;6091;4702;3204
2021;Mathématiques Spécialité,Sciences de l'ingénieur et sciences physiques;Licence Pluri Sciences fondamentales et applications;69;3;0
2021;Mathématiques Spécialité,Sciences de la vie et de la Terre Spécialité;Licence Génie civil;98;56;15
2021;Mathématiques Spécialité,Sciences de la vie et de la Terre Spécialité;Licence Informatique;2084;528;141
2021;Art,Histoire-Géographie, Géopolitique et Sciences politiques;Formations des écoles nationales vétérinaires;0;0;0
2021;Art,Humanités, Littérature et Philosophie;Licence Chimie;2;1;1
2021;Art,Humanités, Littérature et Philosophie;Licence Informatique;4;0;0
