Code UAI de l'établissement;Établissement;Département de l’établissement;Région de l’établissement;Académie de l’établissement;Coordonnées GPS de la formation;Statut de l’établissement de la filière de formation (public, privé…);Commune de l’établissement
0692437Z;Université Jean Moulin Lyon 3;Rhône;Auvergne-Rhône-Alpes;Lyon;45.747754, 4.8593556;Non précisé;Non précisé
0751717J;Université Paris 1 Panthéon Sorbonne;Paris;Ile-de-France;Paris;0;Non précisé;Non précisé
0931827F;Université Paris 8;Seine-Saint-Denis;Ile-de-France;Créteil;48.9454, 2.3635196;Non précisé;Non précisé
0921204J;Université Paris Nanterre;Hauts-de-Seine;Ile-de-France;Versailles;48.891801, 2.2153533;Non précisé;Non précisé
0911101C;Université Paris-Sud, campus d'Orsay;Essonne;Ile-de-France;Versailles;48.711946, 2.1702;Non précisé;Non précisé
0341089Z;Université Paul Valery - Montpellier;Hérault;Occitanie;Montpellier;43.637651, 3.8666968;Non précisé;Non précisé
0751719L;Université Sorbonne Nouvelle Paris 3;Paris;Ile-de-France;Paris;48.8415, 2.3545;Non précisé;Non précisé
0311382J;Université Toulouse 1 Capitole;Haute-Garonne;Occitanie;Toulouse;43.606446, 1.4378;Non précisé;Non précisé
0311383K;Université Toulouse 2 Jean Jaurès;Haute-Garonne;Occitanie;Toulouse;43.580013, 1.4027324;Non précisé;Non précisé
0881711G;CFRP de Gugnecourt;Vosges;Grand Est;Nancy-Metz;48.2449, 6.6227598;Non précisé;Non précisé
0381629P;CNED;Isère;Auvergne-Rhône-Alpes;Grenoble;45.187997, 5.724009;Non précisé;Non précisé
090CPS01;Creps de bourgogne-dijon - antenne de belfort;Territoire de Belfort;Bourgogne-Franche-Comté;Besancon;0;Non précisé;Non précisé
037CPS01;Creps du centre	 - antenne de tour;Indre-et-Loire;Centre-Val de Loire;Orléans-Tours;0;Non précisé;Non précisé
034CPS02;Creps montpellier - antenne de st-bauzille;Hérault;Occitanie;Montpellier;0;Non précisé;Non précisé
0594391C;E.S.AA.T.;Nord;Hauts-de-France;Lille;50.6979, 3.1660598;Non précisé;Non précisé
0310057U;Hélène Boucher Lycée des métiers des soins à la personne;Haute-Garonne;Occitanie;Toulouse;43.6134, 1.4344;Non précisé;Non précisé
0133686L;I.U.T d'Aix-Marseille - Site d'Arles;Bouches-du-Rhône;Provence Alpes Côte d'Azur;Aix-Marseille;43.6723, 4.6404;Non précisé;Non précisé
0870125N;I.U.T du Limousin - site de Limoges;Haute-Vienne;Nouvelle-Aquitaine;Limoges;45.8356, 1.2299598;Non précisé;Non précisé
0631021T;I.U.T. de Clermont-Ferrand;Puy-de-Dôme;Auvergne-Rhône-Alpes;Clermont-Ferrand;45.7601, 3.1136402;Non précisé;Non précisé
